;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
26;2700;20060995;18234617;18244386;18259793;40090947;25516519;31500691;32782555;43742695;38010;32019877;34594822;43745396;22412;30014670;32744274;32814443;21980;13486367;16370561;14801216;242124;7343938;7493110;84112;75700;51344;83316;237785;241093;67547;237797;432823;439523;487243;495818;20070439;15504065;2997394;213267;567359;646205;492917;607767;154475;508;57983;291975;105899;530;47753;241496
27;2800;21573995;19609967;19620106;19635981;43115797;27441569;33851897;35271777;47042795;39410;34425247;37210365;47045596;23012;32249044;35229064;35289793;22780;14446018;17640748;15910316;252310;7875246;8066512;86012;78408;53244;85216;246585;250005;70047;246597;450863;457568;507713;516363;21583789;16683016;3205401;222653;589141;673312;512638;632933;159315;508;63890;298663;113401;530;49348;250824
28;2900;23141995;21035317;21045840;21062161;46250647;29436619;36398463;37843047;50462895;40810;36972302;39829040;50465796;23612;34644806;37630936;37855143;23580;15687729;18938043;17059416;262490;8540430;8652278;87912;81264;55144;87116;255385;258937;72547;255397;468823;475713;527953;536968;23152139;17906063;3440749;226110;613198;700459;531552;658513;163055;508;56905;293647;118043;530;51009;257611
29;3000;24764995;22510667;22521571;22539015;49495497;31501669;38934349;40474733;54002995;42210;39577015;42706565;54005996;24212;37113484;40434314;40510493;24380;16747910;20213774;18248516;272690;9128270;9228328;89812;83946;57044;89016;264185;267847;75047;264197;487163;493458;548063;557578;24775489;19170867;3696741;243179;636550;727653;553094;684582;172647;508;62614;347074;132651;530;53099;270481
30;3100;26442995;24036017;24047294;24065673;52850347;33636719;41616291;43212763;57663095;43610;42246775;45602010;57666196;24812;39596930;43143444;43255843;25180;17979217;21571279;19477848;282884;9798454;9840932;91712;86736;58944;90916;272985;276785;77547;272997;505463;511288;568608;578288;26453839;20478064;3922312;249978;662881;754427;574286;710499;170315;508;65782;476797;148645;530;55673;282130
31;3200;28175995;25611367;25623035;25642058;56315197;35841769;44369285;46030409;61443195;45010;45061490;48574827;61446396;25412;42249432;45904516;46091193;25980;19212891;22950420;20747748;293078;10473266;10462986;93612;89616;60844;92816;281785;285717;80047;281797;523183;529638;589053;599028;28187189;21832541;4175244;256009;686737;781427;592927;735847;179555;508;107252;485861;148711;530;57983;291623
32;3300;29963995;27236717;27248767;27267738;59890047;38116819;47159055;48920459;65343295;46410;47911885;51627621;65346596;26012;44947934;48851250;49016543;26780;20371811;24334970;22057648;303282;11125234;11087708;95512;92314;62744;94716;290585;294635;82547;290597;541063;547858;609343;619968;29975539;23229941;4445305;261461;709946;808870;616904;762799;211983;508;69379;431059;156169;530;59589;301512
33;3400;31806995;28912067;28924511;28944634;63574897;40461869;50053453;51947497;69363395;47810;50807301;54810756;69366796;26612;47613492;51854028;52031893;27580;21608644;25870243;23407548;313458;11814002;11779176;97412;95172;64644;96616;299385;303561;85047;299397;559083;566003;629683;640443;31818889;24670453;4740689;261501;735006;835943;637081;788416;193415;508;78421;396783;153155;530;61613;312193
34;3500;33704995;30637417;30650255;30670571;67369747;42876919;53087847;55015527;73503495;49210;53923856;58027456;73506996;27212;50585672;54946962;55137243;28380;23002968;27340248;24797448;323648;12574850;12441730;99312;97992;66544;98516;308185;312489;87547;308197;577343;583803;649953;661033;33717239;26155167;4988490;295280;761699;863679;655319;814473;197595;508;68983;404956;168445;530;65331;321389
35;3600;35657995;32412767;32425949;32447087;71274597;45361969;56159385;58205633;77763595;50610;57047620;61418472;77767196;27812;53513990;58086168;58332593;29180;24323366;28927424;26227348;333826;13310466;13156352;101212;100742;68444;100416;316985;321411;90047;316997;595903;601348;670043;682303;35670589;27685058;5292692;277556;785055;890718;675582;840725;223555;508;95350;540234;162043;530;67278;333610
36;3700;37665995;34238117;34251702;34273342;75289447;47917019;59356647;61462271;82143695;52010;60282507;64780457;82147396;28412;56575000;61220322;61617943;29980;25769143;30506797;27697248;344014;14103110;13867480;103112;103620;70344;102316;325785;330349;92547;325797;613963;619403;690953;702653;37678939;29259718;5572996;322769;808511;918165;694397;867233;220959;508;79488;433600;173769;530;68576;344742
37;3800;39728995;36113467;36127422;36149715;79414297;50542069;62598565;64915093;86643795;53410;63551682;68509402;86647596;29012;59637042;64856180;64993293;30780;27157896;32370084;29207148;354196;14876122;14704820;105012;106516;72244;104216;334585;339281;95047;334597;632363;637108;711053;723853;39742289;30883268;5878533;312689;834738;945236;714700;894082;225975;508;81171;426989;176783;530;70864;357018
38;3900;41846995;38038817;38053184;38076665;83649147;53237119;65971083;68393539;91263895;54810;66984737;72163137;91267796;29612;62865028;68259488;68458643;31580;28682999;34133525;30757048;364394;15715486;15497738;106912;109302;74144;106116;343385;348199;97547;343397;650923;654638;731743;744363;41860639;32549629;6189539;313260;860459;972659;740853;919475;246875;508;74945;434029;185077;530;72525;371153
39;4000;44019995;40014167;40028824;40052801;87993997;56002169;69266225;71985005;96003995;56210;70289425;75972812;96007996;30212;65857534;71947890;72013993;32380;29876506;35993761;32346948;374576;16415454;16333700;108812;112088;76044;108016;352185;357125;100047;352197;669663;672008;751263;765198;44033989;34256830;6519704;326141;884843;999679;760271;946560;250835;508;109727;527925;183779;530;74648;377610
40;4100;46247995;42039517;42054575;42078899;92448847;58837219;72832675;75638671;100864095;57610;73929832;79841365;100868196;30812;69363280;75591256;75659343;33180;31522956;37836447;33976848;384794;17313370;17161780;110712;114944;77944;109916;360985;366049;102547;360997;688783;689103;772248;786193;46262339;36008658;6825033;337573;908177;1027416;779799;972869;225538;511;132126;1231796;181623;530;77816;388665
