;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
25;2600;10417785;6857393;6971011;6930807;22779218;6847803;16177895;17684222;23456641;10640;15674329;17433847;23112710;7878;15640373;16885865;7018627;10646;2887867;3491269;7156681;227256;3489225;3663163;38266;36283;24187;37699;90512;95950;27247;89676;304819;303858;350665;404529;14620082;13611304;1467673;233737;372889;409004;328376;412941;149938;45244;147354;477304;113795;35759;107515;415653
26;2700;11258940;7518479;7472083;7445166;24806196;7382161;17451640;19098644;25264697;11053;16940949;18755963;25244055;7854;17136541;18343066;7445478;11044;3078378;3715407;7693676;234276;3759600;3937104;38535;37701;24436;38038;94546;99935;28168;94037;322378;315418;363270;419085;15832121;14672615;1607174;257014;387979;423083;338352;438614;157130;46715;143142;477044;117700;37714;121461;442238
27;2800;12095014;8055382;7955126;8136465;26910361;7968499;18955514;20678720;27086272;11539;18245938;20373631;26765082;8072;18391884;19651641;8003011;11444;3298876;4038525;8256972;247306;4050928;4236639;39310;38770;25211;39020;96412;104280;29397;97125;336320;328088;386530;440902;16999783;15663209;1699172;276849;404968;443465;350344;463620;163705;49605;155292;505811;123060;40430;124589;464260
28;2900;12898944;8585953;8554651;8719914;28506885;8514234;20544485;22335393;29013909;12508;19689357;21648119;28966116;8069;19945056;21157600;8608708;11845;3577751;4298715;8833798;256404;4384224;4594640;40114;40235;26644;41310;100013;106833;29579;100624;343574;338103;394639;456960;18339391;16888560;1833026;282699;416786;462285;367302;485699;165130;50380;148476;504740;132504;43488;124987;474932
29;3000;13798319;9230242;9278896;9296521;30559905;9132225;21860096;23836355;31079820;12248;21247448;23608040;31586694;8201;21280994;22894395;9135430;12271;3814328;4692797;9526295;264013;4679696;4902611;40930;42162;28303;40466;104575;112307;30659;105533;357144;362034;407556;474430;19502562;18156334;1947971;295655;437295;481405;379009;504841;173685;51866;160299;549094;140105;43547;131148;488795
30;3100;14702039;9849849;9938085;9970338;32623987;9735570;23660469;25473797;33317960;12655;22606454;25759158;34407613;8636;22591109;24497790;9794546;13349;4100934;5004807;10236203;274852;5024566;5178613;41642;43418;26760;41447;107508;113974;31570;109100;370980;377835;424961;492024;20920407;19165843;2063042;306880;463002;494807;397158;515845;171521;54784;163044;657020;151868;46210;135361;522341
31;3200;15746783;10528349;10519925;10584944;34639026;10366805;25140531;27383773;35453724;13167;24211931;27116549;35194417;9324;24301130;26257375;10398166;13105;4419872;5340899;10903832;284888;5356504;5489658;44689;44304;27301;42090;110897;118985;33620;110615;382074;384543;440108;499523;22286667;20486942;2221799;307580;474705;507550;412002;534013;182586;55858;216278;669694;152264;44850;140055;535650
32;3300;16793520;11137851;11186534;11229609;36606825;11050171;26891084;28714561;37963244;13466;25934377;28569747;37439642;9285;25816346;27883963;11037660;13500;4674970;5562455;11415632;291860;5725644;5837340;45890;45663;27385;42940;115169;121166;33791;114573;392967;392667;456192;518839;23609650;21843473;2395530;326705;487931;524639;432504;551452;218037;57291;176016;645206;159959;47423;146756;560032
33;3400;17777554;11780234;11915210;11925835;38888127;11747829;28683180;30649935;39883742;13872;27625270;30186765;39730000;9558;27409186;29550222;11823465;13903;4972734;5992399;12218848;302298;6048563;6192010;44185;46993;28442;43681;119771;126744;34568;118754;399560;406964;458809;532050;25089942;23262552;2502831;333197;505451;547455;437980;571284;195610;59022;189113;630134;161755;48877;150878;574825
34;3500;18765334;12549370;12613064;12569962;41212395;12398349;30480935;32483746;42234088;14269;29182887;32491874;42089891;9496;29332009;31497195;12538073;14281;5330694;6266600;13033790;314927;6485298;6499983;45232;48305;28581;44994;122357;129795;35672;122661;405537;417125;471699;550574;26478316;24674369;2666718;369111;524824;564764;449412;590098;198861;60134;178489;646042;178468;51331;159878;588380
35;3600;19994946;13218282;13320581;13243389;44282956;13104787;32520608;34593205;44846095;14676;31115034;34345589;45024737;9444;31214785;33257445;13158365;14666;5595674;6603011;13535830;324719;6819372;6876346;47236;50111;29166;45344;124309;134122;36714;125773;416502;429480;485279;565980;27937212;26061219;2766089;355904;539520;575612;462371;613143;217015;64625;216619;749783;170372;52157;164605;612444
36;3700;21072409;13981599;14047663;13987599;46579230;13867071;34531485;36421159;47455348;15068;32966194;36630026;47506458;9620;33076963;35663629;13952563;15075;5923623;6908200;14349659;334180;7368004;7293810;46596;51255;30482;46095;129049;136629;37668;128859;428027;442651;496006;578199;29506413;27382478;2912019;406624;556047;590338;481297;632544;218645;64538;198994;702445;180301;52793;166623;631522
37;3800;22188915;14829460;14886975;14770621;49217503;14681575;36627928;38628066;49805980;15480;34700489;38374255;50194085;9864;34948858;37142398;14724374;15484;6201506;7355024;15158241;343134;7751345;7693544;47333;52597;31099;47675;131000;139594;38686;132132;435955;449747;504070;597999;31136763;29180611;3066741;399994;574659;616609;496982;653609;230964;68896;205652;754010;182807;55393;172652;662076
38;3900;23304761;15601949;15543972;15666303;52207745;15423502;38066245;40806078;52776961;15885;37187121;40353030;52722979;10206;37115750;39117722;15560051;15888;6572385;7774510;15966720;353420;8166684;8171797;48419;55722;31770;47848;135455;144150;41105;136265;450029;460510;520686;619640;33013289;30619244;3230194;404877;599039;632597;514040;670857;241440;68424;194681;753271;192422;56908;177084;684020
39;4000;24665185;16387868;16491032;16493769;53968234;16204284;40048013;42886812;55448040;16389;39125339;42338088;55633512;10283;39007816;41626484;16325253;16770;6820412;8105696;16780119;361764;8404918;8533259;49097;55618;32912;48986;138544;148545;43017;140062;459879;470696;543770;631554;35156305;32330012;3404248;405287;609418;652284;527401;702963;250410;70459;243625;826079;193736;60201;181794;706755
40;4100;25793492;17192485;17340271;17261233;57300056;17169807;42563009;45378349;58425663;16708;40824494;44639568;58199276;10446;40909959;44341318;17104498;17444;7161209;8635215;17573592;375056;8854811;9016803;50795;57981;33665;50940;141179;152472;41938;142303;469755;476955;552362;660475;36576423;33674340;3579475;390253;619946;666703;534805;720650;230165;77553;273158;1311176;190859;60679;187460;726751
